2025-03-10 21:57:53,276 - Logging initialized (multi-board crawler)
2025-03-10 21:58:30,596 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741305631.A.B3B.html
2025-03-10 21:58:30,649 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741305730.A.E84.html
2025-03-10 21:58:30,696 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741307411.A.530.html
2025-03-10 21:58:30,838 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741307678.A.985.html
2025-03-10 21:58:30,968 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741308209.A.2C3.html
2025-03-10 21:58:31,032 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741308467.A.4BD.html
2025-03-10 21:58:31,091 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741311031.A.C2A.html
2025-03-10 21:58:32,093 - [NBA] Processing page 6492, progress: 12/104 (11.5%)
2025-03-10 21:58:32,197 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741235073.A.D8F.html
2025-03-10 21:58:32,389 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741235138.A.637.html
2025-03-10 21:58:32,538 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741236932.A.689.html
2025-03-10 21:58:32,601 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741237238.A.A0F.html
2025-03-10 21:58:32,728 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741237362.A.410.html
2025-03-10 21:58:32,858 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741237667.A.6AF.html
2025-03-10 21:58:32,968 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741237717.A.5B8.html
2025-03-10 21:58:33,042 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741238150.A.DF2.html
2025-03-10 21:58:33,208 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741238160.A.289.html
2025-03-10 21:58:33,258 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741239992.A.37E.html
2025-03-10 21:58:33,378 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741240545.A.02C.html
