2025-03-10 20:02:16,431 - Logging initialized (crawler)
2025-03-10 20:02:16,459 - Start crawling Gossiping pages from index 38949 to index 38700
2025-03-10 20:11:30,717 - Processing page 38755, progress: 195/250 (78.0%)
2025-03-10 20:11:33,519 - Processing page 38754, progress: 196/250 (78.4%)
2025-03-10 20:11:36,476 - Processing page 38753, progress: 197/250 (78.8%)
2025-03-10 20:11:39,121 - Processing page 38752, progress: 198/250 (79.2%)
2025-03-10 20:11:42,080 - Processing page 38751, progress: 199/250 (79.6%)
2025-03-10 20:11:45,054 - Processing page 38750, progress: 200/250 (80.0%)
2025-03-10 20:11:47,805 - Processing page 38749, progress: 201/250 (80.4%)
2025-03-10 20:11:50,338 - Processing page 38748, progress: 202/250 (80.8%)
2025-03-10 20:11:52,905 - Processing page 38747, progress: 203/250 (81.2%)
2025-03-10 20:11:55,894 - Processing page 38746, progress: 204/250 (81.6%)
2025-03-10 20:11:58,867 - Processing page 38745, progress: 205/250 (82.0%)
2025-03-10 20:12:01,559 - Processing page 38744, progress: 206/250 (82.4%)
2025-03-10 20:12:04,635 - Processing page 38743, progress: 207/250 (82.8%)
2025-03-10 20:12:07,559 - Processing page 38742, progress: 208/250 (83.2%)
2025-03-10 20:12:10,367 - Processing page 38741, progress: 209/250 (83.6%)
2025-03-10 20:12:12,901 - Processing page 38740, progress: 210/250 (84.0%)
2025-03-10 20:12:15,845 - Processing page 38739, progress: 211/250 (84.4%)
2025-03-10 20:12:18,697 - Processing page 38738, progress: 212/250 (84.8%)
2025-03-10 20:12:21,955 - Processing page 38737, progress: 213/250 (85.2%)
2025-03-10 20:12:24,519 - Processing page 38736, progress: 214/250 (85.6%)
2025-03-10 20:12:27,849 - Processing page 38735, progress: 215/250 (86.0%)
2025-03-10 20:12:30,951 - Processing page 38734, progress: 216/250 (86.4%)
2025-03-10 20:12:33,715 - Processing page 38733, progress: 217/250 (86.8%)
2025-03-10 20:12:37,031 - Processing page 38732, progress: 218/250 (87.2%)
2025-03-10 20:12:39,804 - Processing page 38731, progress: 219/250 (87.6%)
2025-03-10 20:12:43,136 - Processing page 38730, progress: 220/250 (88.0%)
2025-03-10 20:12:45,616 - Processing page 38729, progress: 221/250 (88.4%)
2025-03-10 20:12:48,238 - Processing page 38728, progress: 222/250 (88.8%)
2025-03-10 20:12:51,009 - Processing page 38727, progress: 223/250 (89.2%)
2025-03-10 20:12:54,017 - Processing page 38726, progress: 224/250 (89.6%)
2025-03-10 20:12:56,431 - Processing page 38725, progress: 225/250 (90.0%)
2025-03-10 20:12:59,281 - Processing page 38724, progress: 226/250 (90.4%)
2025-03-10 20:13:01,788 - Processing page 38723, progress: 227/250 (90.8%)
2025-03-10 20:13:04,346 - Processing page 38722, progress: 228/250 (91.2%)
2025-03-10 20:13:07,197 - Processing page 38721, progress: 229/250 (91.6%)
2025-03-10 20:13:10,089 - Processing page 38720, progress: 230/250 (92.0%)
2025-03-10 20:13:12,827 - Processing page 38719, progress: 231/250 (92.4%)
2025-03-10 20:13:15,676 - Processing page 38718, progress: 232/250 (92.8%)
2025-03-10 20:13:18,898 - Processing page 38717, progress: 233/250 (93.2%)
2025-03-10 20:13:21,507 - Processing page 38716, progress: 234/250 (93.6%)
2025-03-10 20:13:24,113 - Processing page 38715, progress: 235/250 (94.0%)
2025-03-10 20:13:26,858 - Processing page 38714, progress: 236/250 (94.4%)
2025-03-10 20:13:29,735 - Processing page 38713, progress: 237/250 (94.8%)
2025-03-10 20:13:32,274 - Processing page 38712, progress: 238/250 (95.2%)
2025-03-10 20:13:35,290 - Processing page 38711, progress: 239/250 (95.6%)
2025-03-10 20:13:37,936 - Processing page 38710, progress: 240/250 (96.0%)
2025-03-10 20:13:40,735 - Processing page 38709, progress: 241/250 (96.4%)
2025-03-10 20:13:43,436 - Processing page 38708, progress: 242/250 (96.8%)
2025-03-10 20:13:45,748 - Processing page 38707, progress: 243/250 (97.2%)
2025-03-10 20:13:48,197 - Processing page 38706, progress: 244/250 (97.6%)
2025-03-10 20:13:50,972 - Processing page 38705, progress: 245/250 (98.0%)
2025-03-10 20:13:53,537 - Processing page 38704, progress: 246/250 (98.4%)
2025-03-10 20:13:56,177 - Processing page 38703, progress: 247/250 (98.8%)
2025-03-10 20:13:59,942 - Processing page 38702, progress: 248/250 (99.2%)
2025-03-10 20:14:02,699 - Processing page 38701, progress: 249/250 (99.6%)
2025-03-10 20:14:05,252 - Processing page 38700, progress: 250/250 (100.0%)
2025-03-10 20:14:08,196 - Crawling finished. (no sentiment analysis)
